Sat Nov 26 16:56:23 2022    output.dat

         1997785 function calls (1949844 primitive calls) in 4.086 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1572    0.006    0.000    0.157    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:506(wrapper)
     1572    0.012    0.000    0.148    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:523(_array2string)
     1572    0.008    0.000    0.180    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:561(array2string)
     1572    0.003    0.000    0.059    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:780(_formatArray)
     1572    0.014    0.000    0.059    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:1223(__init__)
     1572    0.003    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:1403(dtype_is_implied)
     1572    0.007    0.000    0.191    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:1467(_array_repr_implementation)
     1538    0.003    0.000    0.003    0.000 {built-in method numpy.frombuffer}
     1521    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
     1435    0.003    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:678(__new__)
     1426    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:983(pixelPadding)
     1404    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     1383    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
     1383    0.002    0.000    0.009    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:165(simplefilter)
     1383    0.004    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:181(_add_filter)
     1383    0.002    0.000    0.002    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:437(__init__)
     1383    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:458(__enter__)
     1383    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:477(__exit__)
     1374    0.004    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:590(_find_data_type)
     1374    0.002    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:579(_get_mixins_)
     1248    0.030    0.000    0.030    0.000 {built-in method drawPath}
     1238    0.001    0.000    0.001    0.000 {built-in method widthF}
     1228    0.011    0.000    0.075    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:986(boundingRect)
     1224    0.003    0.000    0.011    0.000 <__array_function__ internals>:177(copyto)
     1224    0.004    0.000    0.017    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numeric.py:149(ones)
     1224    0.000    0.000    0.000    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/multiarray.py:1071(copyto)
     1219    0.002    0.000    0.004    0.000 {built-in method setRenderHint}
     1219    0.000    0.000    0.000    0.000 {method 'setsize' of 'PyQt6.sip.voidptr' objects}
     1218    0.054    0.000    0.069    0.000 {built-in method from_euler}
     1218    0.007    0.000    0.007    0.000 {method 'as_matrix' of 'scipy.spatial.transform._rotation.Rotation' objects}
     1218    0.001    0.000    0.001    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:23(getPosition)
     1218    0.002    0.000    0.002    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:26(getRotation)
     1218    0.001    0.000    0.001    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:29(getScale)
     1218    0.046    0.000    0.272    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:91(getPoints)
     1218    0.007    0.000    0.025    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:128(translate)
     1218    0.015    0.000    0.116    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:139(rotate)
     1218    0.014    0.000    0.031    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:146(scale)
